rank,company,revenue ($ millions),profit ($ millions),Sector
1,General Motors,123780.1,-4452.8,Consumer Cyclical
2,Exxon Mobil,103242.0,5600.0,Energy
3,Ford Motor,88962.8,-2258.0,Consumer Cyclical
4,Intl. Business Machines,65394.0,-2827.0,Technology
5,General Electric,60236.0,2636.0,Industrials
6,Mobil,56910.0,1920.0,Energy
7,Altria Group,48109.0,3006.0,Consumer Defensive
8,DuPont,38031.0,1403.0,Basic Materials
9,Texaco,37551.0,1294.0,Energy
10,ChevronTexaco,36795.0,1293.0,Energy
11,Chrysler,29370.0,-795.0,Consumer Cyclical
12,Boeing,29314.0,1567.0,Industrials
13,Procter & Gamble,27406.0,1773.0,Consumer Defensive
14,Amoco,25604.0,1484.0,Energy
15,Shell Oil,22201.0,20.0,Energy
16,United Technologies,21262.0,-1021.0,Industrials
17,PepsiCo,19771.2,1080.2,Consumer Defensive
18,Eastman Kodak,19649.0,17.0,Industrials
19,ConAgra Foods,19504.7,311.2,Consumer Defensive
20,Dow Chemical,19305.0,942.0,Basic Materials
21,McDonnell Douglas,18718.0,423.0,Industrials
22,Xerox,17830.0,454.0,Technology
23,Atlantic Richfield,17683.0,709.0,Energy
24,Marathon Oil,17163.0,-578.0,Energy
25,Nabisco Group Holdings,14989.0,368.0,Consumer Defensive
26,Hewlett-Packard,14541.0,755.0,Technology
27,Tenneco Automotive,14035.0,-732.0,Consumer Cyclical
28,Digital Equipment,14024.2,-617.4,Technology
29,3M,13340.0,1154.0,Industrials
30,ConocoPhillips,13216.0,258.0,Energy
31,CBS,12794.0,-1086.0,Communication Services
32,International Paper,12703.0,184.0,Consumer Cyclical
33,Sara Lee,12456.3,535.0,Consumer Defensive
34,Johnson & Johnson,12447.0,1461.0,Healthcare
35,Rockwell Automation,12027.9,600.5,Industrials
36,Honeywell Intl.,11882.0,-273.0,Industrials
37,Coca-Cola,11571.6,1618.0,Consumer Defensive
38,Georgia-Pacific,11524.0,-142.0,Basic Materials
39,Motorola,11341.0,454.0,Technology
40,Bristol-Myers Squibb,11298.0,2056.0,Healthcare
41,Goodyear Tire & Rubber,11046.1,96.6,Consumer Cyclical
42,Anheuser-Busch,10996.3,939.8,Consumer Defensive
43,Occidental Petroleum,10304.8,459.9,Energy
44,Sunoco,10246.0,-387.0,Energy
45,Caterpillar,10182.0,-404.0,Industrials
46,Alcoa,9981.2,62.7,Basic Materials
47,Lockheed Martin,9809.0,308.0,Industrials
48,Unocal,9780.0,73.0,Energy
49,Coastal,9602.8,96.3,Financial Services
50,General Dynamics,9548.0,505.0,Industrials
51,Raytheon,9355.5,591.8,Industrials
52,Ashland,9322.4,145.0,Basic Materials
53,Monsanto,8929.0,296.0,Basic Materials
54,Citgo Petroleum,8921.9,135.7,Energy
55,Baxter International,8921.0,591.0,Healthcare
56,Unilever U.S.,8855.1,N.A.,Consumer Defensive
57,Merck,8765.2,2121.7,Healthcare
58,Weyerhaeuser,8724.8,-161.9,Real Estate
59,Unisys,8696.1,-1393.3,Technology
60,Archer Daniels Midland,8567.7,466.7,Consumer Defensive
61,Fortune Brands,8379.0,806.1,Industrials
62,TRW,7913.0,-140.0,Industrials
63,Textron,7840.1,299.5,Industrials
64,Emerson Electric,7427.0,631.9,Industrials
65,Ralston Purina,7394.2,391.9,Consumer Defensive
66,Union Carbide,7346.0,-28.0,Basic Materials
67,Borden Chemical,7235.1,294.9,Basic Materials
68,General Mills,7153.2,472.7,Consumer Defensive
69,Pfizer,7143.8,722.1,Healthcare
70,Hanson Industries NA,7103.7,660.2,Industrials
71,Wyeth,7102.8,1375.3,Healthcare
72,Deere,7055.2,-20.2,Industrials
73,Sealed Air,6949.1,218.6,Consumer Cyclical
74,Abbott Laboratories,6921.7,1088.7,Healthcare
75,Hoechst Celanese,6856.0,172.0,Basic Materials
76,Kimberly-Clark,6830.0,508.3,Consumer Defensive
77,Texas Instruments,6812.0,-409.0,Technology
78,Whirlpool,6770.0,170.0,Consumer Cyclical
79,H.J. Heinz,6682.1,568.0,Consumer Defensive
80,Amerada Hess,6416.3,84.3,Energy
81,Apple Computer,6308.8,309.8,Technology
82,Campbell Soup,6230.1,401.5,Consumer Defensive
83,Honeywell,6220.9,331.1,Industrials
84,Bestfoods,6200.0,372.7,Consumer Defensive
85,Bayer Corporation,6197.4,101.0,Healthcare
86,Cooper Industries,6162.6,393.2,Healthcare
87,LTV,6117.3,74.1,Technology
88,Martin Marietta,6102.1,313.1,Basic Materials
89,Quaker Oats,6101.2,205.8,Consumer Defensive
90,Colgate-Palmolive,6093.7,124.9,Consumer Defensive
91,North American Philips,6064.6,8.1,Industrials
92,Kellogg,5786.6,606.0,Consumer Defensive
93,Reynolds Metals,5784.5,154.1,Consumer Cyclical
94,Lyondell Chemical,5743.0,222.0,Basic Materials
95,Eli Lilly,5725.7,1314.7,Healthcare
96,PPG Industries,5725.2,276.2,Basic Materials
97,Northrop Grumman,5705.5,200.8,Industrials
98,Stone Container,5392.7,-49.1,Basic Materials
99,Litton Industries,5313.3,63.5,Industrials
100,Warner-Lambert,5166.6,34.8,Healthcare
101,American Cyanamid,5039.9,358.8,Basic Materials
102,Scott Paper,5000.0,-69.9,Consumer Defensive
103,BASF,4962.2,-47.5,Basic Materials
104,Levi Strauss,4902.9,356.7,Consumer Cyclical
105,Champion International,4786.4,40.3,Basic Materials
106,Intel,4778.6,818.6,Technology
107,Gillette,4705.6,427.4,Consumer Defensive
108,Dresser Industries,4702.3,146.8,Industrials
109,Black & Decker,4637.0,53.0,Industrials
110,Chiquita Brands Intl.,4627.4,128.5,Consumer Defensive
111,Mead,4599.7,6.9,Consumer Defensive
112,Dana,4591.1,13.5,Consumer Cyclical
113,Johnson Controls,4566.2,95.1,Industrials
114,Fort James,4561.7,78.3,Consumer Defensive
115,Bethlehem Steel,4317.9,-767.0,Basic Materials
116,Coca-Cola Enterprises,4050.8,-82.4,Consumer Defensive
117,OfficeMax,4043.7,-79.4,Consumer Cyclical
118,Grumman,4037.9,99.3,Industrials
119,FMC,3931.5,163.9,Basic Materials
120,Tyson Foods,3922.1,145.5,Consumer Defensive
121,R.R. Donnelley & Sons,3914.8,204.9,Industrials
122,Owens-Illinois,3852.4,-273.6,Consumer Cyclical
123,Rhone-Poulenc Rorer,3824.3,326.5,Healthcare
124,Crown Holdings,3807.4,128.1,Consumer Cyclical
125,AMAX,3771.6,30.2,Basic Materials
126,J.E. Seagram,3680.0,536.7,Consumer Defensive
127,Eaton,3659.0,74.0,Industrials
128,Farmland Industries,3652.1,N.A.,Real Estate
129,Times Mirror,3624.1,82.0,Communication Services
130,Schering-Plough,3615.6,645.6,Healthcare
131,American Standard,3595.3,-143.2,Industrials
132,Avon Products,3593.3,135.7,Consumer Defensive
133,Ingersoll-Rand,3586.2,150.6,Industrials
134,Agway,3489.8,N.A.,Consumer Cyclical
135,Pharmacia,3487.7,537.4,Healthcare
136,Navistar International,3487.0,-165.0,Industrials
137,Pitney Bowes,3417.1,295.3,Industrials
138,Cummins,3405.5,-14.1,Industrials
139,Ryerson Tull,3404.5,-275.1,Basic Materials
140,Gannett,3382.0,301.6,Communication Services
141,FINA,3339.2,42.0,Energy
142,Kerr-McGee,3307.0,102.0,Energy
143,Corning,3286.8,316.8,Technology
144,Universal,3274.4,20.2,Consumer Defensive
145,Compaq Computer,3271.4,130.9,Technology
146,Sun Microsystems,3259.8,190.3,Technology
147,Teledyne,3217.8,-25.4,Technology
148,Masco,3176.6,44.9,Industrials
149,Tyco International,3107.9,117.5,Industrials
150,AMP,3095.0,259.7,Financial Services
151,Harris,3081.5,19.5,Energy
152,Maytag,2970.6,79.0,Consumer Cyclical
153,Union Camp,2967.1,124.8,Basic Materials
154,VF,2965.9,161.3,Consumer Cyclical
155,Air Products & Chem.,2950.4,248.9,Basic Materials
156,Smurfit-Stone Container,2941.6,-77.1,Basic Materials
157,Hercules,2928.9,94.9,Financial Services
158,Berkshire Hathaway,2913.5,439.9,Financial Services
159,Baker Hughes,2911.9,173.5,Energy
160,Hershey Foods,2901.6,219.5,Consumer Defensive
161,Whitman,2866.2,97.6,Consumer Defensive
162,Hormel Foods,2836.2,86.4,Consumer Defensive
