Rank,Name,Ticker,Sector,Industry
1,Exxon Mobil,XOM,Energy,Oil & Gas Integrated
2,Wal-Mart Stores,WMT,Consumer Defensive,Discount Stores
3,Chevron,CVX,Energy,Oil & Gas Integrated
4,ConocoPhillips,COP,Energy,Oil & Gas E&P
5,General Motors,GM,Consumer Cyclical,Auto Manufacturers
6,General Electric,GE,Industrials,Specialty Industrial Machinery
7,Berkshire Hathaway,BRKA,,
8,Fannie Mae,FNMA,Financial Services,Mortgage Finance
9,Ford Motor,F,Consumer Cyclical,Auto Manufacturers
10,Hewlett-Packard,HPE,Technology,Communication Equipment
11,AT&T,T,Communication Services,Telecom Services
12,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing
13,Bank of America Corp.,BAC,Financial Services,Banks - Diversified
14,McKesson,MCK,Healthcare,Medical Distribution
15,Verizon Communications,VZ,Communication Services,Telecom Services
16,J.P. Morgan Chase & Co.,JPM,Financial Services,Banks - Diversified
17,Apple,AAPL,Technology,Consumer Electronics
18,CVS Caremark,CVS,Healthcare,Healthcare Plans
19,International Business Machines,IBM,Technology,Information Technology Services
20,Citigroup,C,Financial Services,Banks - Diversified
21,Cardinal Health,CAH,Healthcare,Medical Distribution
22,UnitedHealth Group,UNH,Healthcare,Healthcare Plans
23,Kroger,KR,Consumer Defensive,Grocery Stores
24,Costco Wholesale,COST,Consumer Defensive,Discount Stores
25,Freddie Mac,FMCC,Financial Services,Mortgage Finance
26,Wells Fargo,WFC,Financial Services,Banks - Diversified
27,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products
28,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products
29,AmerisourceBergen,ABC,,
30,INTL FCStone,SNEX,Financial Services,Capital Markets
31,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing
32,Walgreen,WBA,Healthcare,Pharmaceutical Retailers
33,American International Group,AIG,Financial Services,Insurance - Diversified
34,MetLife,MET,Financial Services,Insurance - Life
35,Home Depot,HD,Consumer Cyclical,Home Improvement Retail
36,Medco Health Solutions,MHS,,
37,Microsoft,MSFT,Technology,Software - Infrastructure
38,Target,TGT,Consumer Defensive,Discount Stores
39,Boeing,BA,Industrials,Aerospace & Defense
40,Pfizer,PFE,Healthcare,Drug Manufacturers - General
41,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic
42,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General
43,State Farm Insurance Cos.,,,
44,Dell,DELL,Technology,Computer Hardware
45,WellPoint,ANTM,,
46,Caterpillar,CAT,Industrials,Farm & Heavy Construction Machinery
47,Dow Chemical,,,
48,United Technologies,UTX,,
49,Comcast,CMCSA,Communication Services,Telecom Services
50,Kraft Foods,KHC,Consumer Defensive,Packaged Foods
51,Intel,INTC,Technology,Semiconductors
52,United Parcel Service,UPS,Industrials,Integrated Freight & Logistics
53,Best Buy,BBY,Consumer Cyclical,Specialty Retail
54,Lowe's,LOW,Consumer Cyclical,Home Improvement Retail
55,Prudential Financial,PRU,Financial Services,Insurance - Life
56,Amazon.com,AMZN,Consumer Cyclical,Internet Retail
