Rank,Name,Ticker,Sector,Industry
1,Walmart,WMT,Consumer Defensive,Discount Stores
2,Exxon Mobil,XOM,Energy,Oil & Gas Integrated
3,Berkshire Hathaway,BRKA,,
4,Apple,AAPL,Technology,Consumer Electronics
5,UnitedHealth Group,UNH,Healthcare,Healthcare Plans
6,McKesson,MCK,Healthcare,Medical Distribution
7,CVS Health,CVS,Healthcare,Healthcare Plans
8,Amazon.com,AMZN,Consumer Cyclical,Internet Retail
9,AT&T,T,Communication Services,Telecom Services
10,General Motors,GM,Consumer Cyclical,Auto Manufacturers
11,Ford Motor,F,Consumer Cyclical,Auto Manufacturers
12,AmerisourceBergen,ABC,,
13,Chevron,CVX,Energy,Oil & Gas Integrated
14,Cardinal Health,CAH,Healthcare,Medical Distribution
15,Costco,COST,Consumer Defensive,Discount Stores
16,Verizon,VZ,Communication Services,Telecom Services
17,Kroger,KR,Consumer Defensive,Grocery Stores
18,General Electric,GE,Industrials,Specialty Industrial Machinery
19,Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers
20,JPMorgan Chase,JPM,Financial Services,Banks - Diversified
21,Fannie Mae,FNMA,Financial Services,Mortgage Finance
22,Alphabet,GOOGL,Communication Services,Internet Content & Information
23,Home Depot,HD,Consumer Cyclical,Home Improvement Retail
24,Bank of America Corp.,BAC,Financial Services,Banks - Diversified
25,Express Scripts Holding,ESRX,,
26,Wells Fargo,WFC,Financial Services,Banks - Diversified
27,Boeing,BA,Industrials,Aerospace & Defense
28,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing
29,Anthem,ANTM,,
30,Microsoft,MSFT,Technology,Software - Infrastructure
31,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing
32,Citigroup,C,Financial Services,Banks - Diversified
33,Comcast,CMCSA,Communication Services,Telecom Services
34,IBM,IBM,Technology,Information Technology Services
35,Dell Technologies,DELL,Technology,Computer Hardware
36,State Farm Insurance Cos.,,,
37,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General
38,Freddie Mac,FMCC,Financial Services,Mortgage Finance
39,Target,TGT,Consumer Defensive,Discount Stores
40,Lowe’s,LOW,Consumer Cyclical,Home Improvement Retail
41,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing
42,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products
43,MetLife,MET,Financial Services,Insurance - Life
44,UPS,UPS,Industrials,Integrated Freight & Logistics
45,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic
46,Intel,INTC,Technology,Semiconductors
47,DowDuPont,DD,Basic Materials,Specialty Chemicals
48,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products
49,Aetna,AET,,
50,FedEx,FDX,Industrials,Integrated Freight & Logistics
51,United Technologies,UTX,,
52,Prudential Financial,PRU,Financial Services,Insurance - Life
53,Albertsons Cos.,ACI,Consumer Defensive,Grocery Stores
54,Sysco,SYY,Consumer Defensive,Food Distribution
55,Disney,DIS,Communication Services,Entertainment
56,Humana,HUM,Healthcare,Healthcare Plans
57,Pfizer,PFE,Healthcare,Drug Manufacturers - General
58,HP,HPQ,Technology,Computer Hardware
59,Lockheed Martin,LMT,Industrials,Aerospace & Defense
60,AIG,AIG,Financial Services,Insurance - Diversified
61,Centene,CNC,Healthcare,Healthcare Plans
62,Cisco Systems,CSCO,Technology,Communication Equipment
63,HCA Healthcare,HCA,Healthcare,Medical Care Facilities
64,Energy Transfer Equity,ET,Energy,Oil & Gas Midstream
65,Caterpillar,CAT,Industrials,Farm & Heavy Construction Machinery
66,Nationwide,,,
67,Morgan Stanley,MS,Financial Services,Capital Markets
68,Liberty Mutual Insurance Group,,,
69,New York Life Insurance,,,
70,Goldman Sachs Group,GS,Financial Services,Capital Markets
71,American Airlines Group,AAL,Industrials,Airlines
72,Best Buy,BBY,Consumer Cyclical,Specialty Retail
73,Cigna,CI,Healthcare,Healthcare Plans
74,Charter Communications,CHTR,Communication Services,Telecom Services
75,Delta Air Lines,DAL,Industrials,Airlines
76,Facebook,FB,,
77,Honeywell International,HON,Industrials,Conglomerates
78,Merck,MRK,Healthcare,Drug Manufacturers - General
79,Allstate,ALL,Financial Services,Insurance - Property & Casualty
80,Tyson Foods,TSN,Consumer Defensive,Farm Products
81,United Continental Holdings,UAL,Industrials,Airlines
82,Oracle,ORCL,Technology,Software - Infrastructure
83,Tech Data,TECD,,
84,TIAA,,,
85,TJX,TJX,Consumer Cyclical,Apparel Retail
86,American Express,AXP,Financial Services,Credit Services
87,Coca-Cola,KO,Consumer Defensive,Beverages - Non-Alcoholic
88,Publix Super Markets,,,
89,Nike,NKE,Consumer Cyclical,Footwear & Accessories
90,Andeavor,EDR,Communication Services,Entertainment
91,World Fuel Services,INT,,
92,Exelon,EXC,Utilities,Utilities - Regulated Electric
93,Massachusetts Mutual Life Insurance,,,
94,Rite Aid,RAD,,
95,ConocoPhillips,COP,Energy,Oil & Gas E&P
96,CHS,,,
97,3M,MMM,Industrials,Conglomerates
98,Time Warner,TWX,,
99,General Dynamics,GD,Industrials,Aerospace & Defense
100,USAA,UATXX,,
101,Capital One Financial,COF,Financial Services,Credit Services
102,Deere,DE,Industrials,Farm & Heavy Construction Machinery
103,INTL FCStone,SNEX,Financial Services,Capital Markets
104,Northwestern Mutual,,,
105,Enterprise Products Partners,EPD,Energy,Oil & Gas Midstream
106,Travelers Cos.,TRV,Financial Services,Insurance - Property & Casualty
107,Hewlett Packard Enterprise,HPE,Technology,Communication Equipment
108,Philip Morris International,PM,Consumer Defensive,Tobacco
109,Twenty-First Century Fox,FOXA,Communication Services,Entertainment
110,AbbVie,ABBV,Healthcare,Drug Manufacturers - General
111,Abbott Laboratories,ABT,Healthcare,Medical Devices
112,Progressive,PGR,Financial Services,Insurance - Property & Casualty
113,Arrow Electronics,ARW,Technology,Electronics & Computer Distribution
114,Kraft Heinz,KHC,Consumer Defensive,Packaged Foods
115,Plains GP Holdings,PAGP,Energy,Oil & Gas Midstream
116,Gilead Sciences,GILD,Healthcare,Drug Manufacturers - General
117,Mondelez International,MDLZ,Consumer Defensive,Confectioners
118,Northrop Grumman,NOC,Industrials,Aerospace & Defense
119,Raytheon,RTN,,
120,Macy’s,M,Consumer Cyclical,Department Stores
121,US Foods Holding,USFD,Consumer Defensive,Food Distribution
122,U.S. Bancorp,USB,Financial Services,Banks - Regional
123,Dollar General,DG,Consumer Defensive,Discount Stores
124,International Paper,IP,Consumer Cyclical,Packaging & Containers
125,Duke Energy,DUK,Utilities,Utilities - Regulated Electric
126,Southern,SO,Utilities,Utilities - Regulated Electric
127,Marriott International,MAR,Consumer Cyclical,Lodging
128,Avnet,AVT,Technology,Electronics & Computer Distribution
129,Eli Lilly,LLY,Healthcare,Drug Manufacturers - General
130,Amgen,AMGN,Healthcare,Drug Manufacturers - General
131,McDonald’s,MCD,Consumer Cyclical,Restaurants
132,Starbucks,SBUX,Consumer Cyclical,Restaurants
133,Qualcomm,QCOM,Technology,Semiconductors
134,Dollar Tree,DLTR,Consumer Defensive,Discount Stores
135,PBF Energy,PBF,Energy,Oil & Gas Refining & Marketing
136,Icahn Enterprises,IEP,Energy,Oil & Gas Refining & Marketing
137,Aflac,AFL,Financial Services,Insurance - Life
138,AutoNation,AN,Consumer Cyclical,Auto & Truck Dealerships
139,Penske Automotive Group,PAG,Consumer Cyclical,Auto & Truck Dealerships
140,Whirlpool,WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
141,Union Pacific,UNP,Industrials,Railroads
142,Southwest Airlines,LUV,Industrials,Airlines
143,ManpowerGroup,MAN,Industrials,Staffing & Employment Services
144,Thermo Fisher Scientific,TMO,Healthcare,Diagnostics & Research
145,Bristol-Myers Squibb,BMY,Healthcare,Drug Manufacturers - General
146,Halliburton,HAL,Energy,Oil & Gas Equipment & Services
147,Tenet Healthcare,THC,Healthcare,Medical Care Facilities
148,Lear,LEA,Consumer Cyclical,Auto Parts
149,Cummins,CMI,Industrials,Specialty Industrial Machinery
150,Micron Technology,MU,Technology,Semiconductors
151,Nucor,NUE,Basic Materials,Steel
152,Molina Healthcare,MOH,Healthcare,Healthcare Plans
153,Fluor,FLR,Industrials,Engineering & Construction
154,Altria Group,MO,Consumer Defensive,Tobacco
155,Paccar,PCAR,Industrials,Farm & Heavy Construction Machinery
156,Hartford Financial Services,HIG,Financial Services,Insurance - Property & Casualty
157,Kohl’s,KSS,Consumer Cyclical,Department Stores
158,Western Digital,WDC,Technology,Computer Hardware
159,Jabil,JBL,Technology,Electronic Components
160,Community Health Systems,CYH,Healthcare,Medical Care Facilities
161,Visa,V,Financial Services,Credit Services
162,Danaher,DHR,Healthcare,Diagnostics & Research
163,Kimberly-Clark,KMB,Consumer Defensive,Household & Personal Products
164,AECOM,ACM,Industrials,Engineering & Construction
165,PNC Financial Services,PNC,Financial Services,Banks - Regional
166,CenturyLink,,,
